brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
Hyundai,ix35,9000,143500,M,4/5,0,90,1600.0,petrol,0,GR,4,0,SUV,5,F,8,Asian
Citroen,C3,2050,203415,M,4/5,0,50,1398.0,diesel,0,BL,4,0,SDN,3,F,16,French
Fiat,Doblo,7300,115000,M,4/5,0,55,1248.0,diesel,1,WH,2,0,PU,5,F,5,Italian
Citroen,C3,2099,180000,M,4/5,0,44,1124.0,petrol,1,GR,4,0,HB,3,F,17,French
Opel,Corsa,3000,174000,M,2/3,0,66,1248.0,diesel,1,BL,2,0,HB,4,F,13,German
Fiat,Doblo,5990,71000,M,2/3,0,66,1248.0,diesel,1,WH,2,0,PU,5,F,5,Italian
Fiat,Doblo,8600,177000,M,4/5,0,77,1598.0,diesel,0,WH,2,0,PU,5,F,5,Italian
Fiat,Doblo,6200,208000,M,4/5,0,77,1598.0,diesel,0,GR,2,0,PU,5,F,6,Italian
Opel,Zafira,2500,183000,M,4/5,0,74,1995.0,diesel,0,GR,2,0,VAN,3,F,16,German
Renault,Kangoo,6700,81000,M,4/5,0,66,1461.0,diesel,1,WH,1,0,PU,5,F,5,French
Citroen,C3,2800,145000,S,4/5,0,65,1360.0,petrol,1,BL,3,0,HB,4,F,15,French
Volvo,S40,3800,256500,M,4/5,0,80,1560.0,diesel,1,BL,4,0,SDN,4,F,13,Other
VW,Passat,4850,207000,M,4/5,0,103,1985.0,diesel,0,VAR,4,0,SW,4,F,12,German
Renault,Kangoo,5600,140000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F,7,French
Fiat,Doblo,7300,112000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,PU,5,F,4,Italian
Fiat,Doblo,5700,77000,M,4/5,0,66,1248.0,diesel,1,WH,1,0,PU,5,F,5,Italian
Fiat,Doblo,7500,210000,M,4/5,0,66,1248.0,diesel,0,WH,2,0,PU,5,F,5,Italian
BMW,316,10800,199000,M,4/5,0,85,1995.0,diesel,1,VAR,2,0,SW,6,B,7,German
Citroen,C3,3200,142000,M,4/5,0,50,1398.0,diesel,1,WH,2,0,HB,4,F,10,French
Toyota,RAV4,5100,124900,M,4/5,0,92,1794.0,LPG,0,BL,2,0,SUV,3,F,15,Asian
Fiat,Grande Punto,3990,146000,M,4/5,0,57,1368.0,LPG,1,WH,2,0,HB,5,F,7,Italian
Fiat,Panda,6300,84000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,HB,5,F,6,Italian
Renault,Kangoo,5800,163000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F,7,French
Opel,Corsa,1500,233000,M,2/3,0,44,1700.0,diesel,1,GR,2,0,HB,3,F,18,German
Fiat,Doblo,7300,134000,M,4/5,0,66,1248.0,diesel,0,WH,2,0,PU,6,F,4,Italian
VW,Touran,5300,253300,M,4/5,0,77,1896.0,diesel,0,VAR,2,0,VAN,4,F,12,German
Renault,Kangoo,8400,131000,M,4/5,0,66,1461.0,diesel,1,WH,2,0,PU,5,F,5,French
Fiat,Doblo,7300,118000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,PU,5,F,5,Italian
Citroen,C3 Picasso,3890,185000,M,4/5,0,66,1560.0,diesel,0,VAR,4,0,VAN,5,F,11,French
Citroen,C4 Picasso,9899,163491,M,4/5,0,85,1560.0,diesel,1,GR,4,0,VAN,5,F,6,French
Fiat,Doblo,7990,162000,M,4/5,0,66,1248.0,diesel,1,WH,2,0,PU,6,F,4,Italian
Renault,Kangoo,6800,196000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F,6,French
Chevrolet,Captiva,5290,164000,M,4/5,0,110,1991.0,diesel,1,GR,4,0,SUV,4,4x4,13,USA
Renault,Megane,880,286000,M,4/5,1,60,1462.0,diesel,0,VAR,2,0,HB,3,F,17,French
Ford,Fiesta,3990,141000,M,4/5,0,66,1598.0,diesel,1,GR,3,0,HB,4,F,11,USA
VW,Passat,4200,201000,M,4/5,0,103,1968.0,diesel,0,VAR,4,0,SW,4,F,14,German
Fiat,Panda,4600,126000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,HB,5,F,5,Italian
Opel,Corsa,1850,148000,M,2/3,0,55,1199.0,petrol,0,VAR,4,0,HB,4,F,16,German
Opel,Astra,1750,170000,M,4/5,0,74,2000.0,diesel,1,VAR,3,0,SDN,3,F,18,German
VW,Caddy,6990,172000,M,4/5,0,75,1598.0,diesel,1,VAR,1,0,PU,5,F,9,German
Ford,Fiesta,2650,232000,M,4/5,0,50,1399.0,diesel,0,GR,4,0,HB,4,F,12,USA
Fiat,Doblo,5300,108000,M,4/5,0,66,1248.0,diesel,1,WH,1,0,PU,4,F,9,Italian
Renault,Kangoo,6200,196000,M,4/5,0,55,1461.0,diesel,1,GR,1,0,PU,5,F,7,French
Fiat,Doblo,6990,166000,M,4/5,0,77,1598.0,diesel,1,WH,2,0,PU,5,F,6,Italian
Fiat,Doblo,6700,189000,M,4/5,0,77,1598.0,diesel,1,GR,2,0,PU,5,F,6,Italian
Peugeot,Partner,6100,148000,M,4/5,0,66,1560.0,diesel,0,WH,2,0,PU,5,F,6,French
Audi,A4,8190,166000,M,4/5,0,105,1968.0,diesel,1,GR,4,0,SW,4,F,11,German
Audi,A4,4890,172000,M,4/5,0,103,1968.0,diesel,0,GR,4,0,SDN,4,F,14,German
Citroen,C4,4799,202000,M,4/5,0,66,1600.0,diesel,1,BL,4,0,HB,5,F,9,French
Citroen,Berlingo,5900,185000,M,2/3,0,55,1560.0,diesel,0,WH,2,0,PU,5,F,6,French
Audi,A3,5400,256000,M,4/5,0,103,1968.0,diesel,0,BL,4,0,SDN,4,F,13,German
Mercedes,B 200,3700,265000,A,4/5,0,103,1992.0,diesel,1,GR,2,0,HB,4,F,15,German
Kia,Ceed,3050,163000,M,4/5,0,103,1991.0,diesel,1,VAR,2,0,SW,4,F,13,Asian
Peugeot,207,3400,207000,M,4/5,0,50,1398.0,diesel,0,BL,2,0,HB,4,F,12,French
Opel,Meriva,2900,172000,M,4/5,0,55,1248.0,diesel,1,GR,2,0,HB,4,F,14,German
Mercedes,E 200,17900,72000,A,4/5,0,100,2143.0,diesel,1,VAR,4,0,SDN,5,B,8,German
Citroen,C1,2990,156000,A,2/3,0,50,998.0,petrol,0,GR,3,0,HB,4,F,13,French
Citroen,Berlingo,5700,183000,M,4/5,0,55,1560.0,diesel,0,WH,2,0,PU,5,F,6,French
Fiat,Grande Punto,6200,70000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,PU,5,F,7,Italian
Citroen,C4,2600,186000,M,4/5,0,66,1560.0,diesel,0,BL,4,0,HB,4,F,15,French
VW,Golf 4,2700,174000,M,4/5,0,74,1896.0,diesel,1,VAR,4,0,HB,3,F,18,German
Audi,A6,14850,195000,A,4/5,0,130,1968.0,diesel,0,BL,2,0,SW,5,F,7,German
VW,Golf 4,1850,248565,M,4/5,0,77,1598.0,petrol,1,BL,2,0,SW,4,F,18,German
Chevrolet,Aveo,1900,115000,M,4/5,0,53,1150.0,petrol,0,VAR,0,0,HB,4,F,13,USA
Nissan,Qashqai,3500,212081,M,4/5,0,110,1995.0,diesel,0,VAR,4,0,SUV,4,F,13,Asian
Opel,Astra,2900,196000,M,4/5,0,92,1695.0,diesel,0,VAR,4,0,SW,4,F,12,German
Tata,Indica,2950,150000,M,4/5,0,55,1398.0,petrol,0,BL,2,0,HB,4,F,9,Other
